Unity time	tracker time	eye ray x	eye ray y	 eye ray z	eye screen x	eye screen z	status 	 objX 	objY 	Target Size	Button	Spawn Angle	Kill Angle	Eye Moved
5.3	0	-0.7584636	0.6423782	0.1099243	-145.7916	788.7098	1	3175.219	193.7619	1	0	0	0	False
5.31	0	-0.7591125	0.6417704	0.1089918	-145.7916	788.7098	1	3184.57	191.4542	1	0	0	0	False
5.32	0	-0.7596089	0.6413864	0.1077869	-145.7916	788.7098	1	3192.584	188.6412	1	0	0	0	False
5.33	0	-0.7598644	0.6414315	0.1056962	-145.7916	788.7098	1	3206.546	185.1419	1	0	0	0	False
5.34	0	-0.7598644	0.6414315	0.1056962	-145.7916	788.7098	1	3206.546	185.1419	1	0	0	0	False
5.35	0	-0.7600563	0.6416419	0.1030055	-145.7916	788.7097	1	3223.804	180.773	1	0	0	0	False
5.36	0	-0.7601154	0.6417425	0.1019367	-145.7916	788.7099	1	3230.554	179.0367	1	0	0	0	False
5.37	0	-0.760119	0.6416946	0.1022111	-145.7917	788.7098	1	3229.11	179.4789	1	0	0	0	False
5.38	0	-0.760119	0.6416946	0.1022111	-145.7917	788.7098	1	3229.11	179.4789	1	0	0	0	False
5.39	0	-0.7600172	0.6417241	0.1027817	-145.7916	788.7098	1	3224.945	180.4936	1	0	0	0	False
5.4	0	-0.7596567	0.6421201	0.1029734	-145.7916	788.7098	1	3223.2	181.5657	1	0	0	0	False
5.41	0	-0.7590616	0.642732	0.1035428	-145.7916	788.7098	1	3217.702	183.5556	1	0	0	0	False
5.42	0	-0.7590616	0.642732	0.1035428	-145.7916	788.7098	1	3217.702	183.5556	1	0	0	0	False
5.43	0	-0.7581251	0.6438345	0.1035545	-145.7916	788.7098	1	3215.416	185.4871	1	0	0	0	False
5.44	0	-0.7572894	0.6448412	0.1034052	-145.7916	788.7098	1	3211.923	186.6142	1	0	0	0	False
5.45	0	-0.7566153	0.6456159	0.1035057	-145.7916	788.7098	1	3205.113	187.4595	1	0	0	0	False
5.46	0	-0.7566153	0.6456159	0.1035057	-145.7916	788.7098	1	3205.113	187.4595	1	0	0	0	False
5.47	0	-0.7559911	0.6462678	0.1039975	-145.7917	788.7098	1	3195.132	188.6331	1	0	0	0	False
5.48	0	-0.7552097	0.647042	0.1048575	-145.7917	788.7098	1	3182.015	190.5565	1	0	0	0	False
5.49	0	-0.7546809	0.6475378	0.1056007	-145.7916	788.7098	1	3172.583	192.1277	1	0	0	0	False
5.5	0	-0.7546809	0.6475378	0.1056007	-145.7916	788.7098	1	3172.583	192.1277	1	0	0	0	False
5.51	0	-0.7540298	0.6481733	0.1063508	-145.7916	788.7098	1	3161.281	193.6982	1	0	0	0	False
5.52	0	-0.7533503	0.648791	0.1073946	-145.7917	788.7098	1	3149.008	195.8375	1	0	0	0	False
5.53	0	-0.752792	0.6492806	0.1083463	-145.7916	788.7098	1	3138.365	197.6973	1	0	0	0	False
5.54	0	-0.752792	0.6492806	0.1083463	-145.7916	788.7098	1	3138.365	197.6973	1	0	0	0	False
5.55	0	-0.7523664	0.6495647	0.1095925	-145.7916	788.7098	1	3123.929	199.3116	1	0	0	0	False
5.56	0	-0.752142	0.6497034	0.1103089	-145.7916	788.7098	1	3114.814	200.0463	1	0	0	0	False
5.57	0	-0.7520337	0.649806	0.1104427	-145.7916	788.7098	1	3111.178	200.0309	1	0	0	0	False
5.58	0	-0.7520337	0.649806	0.1104427	-145.7916	788.7098	1	3111.178	200.0309	1	0	0	0	False
5.59	0	-0.7520183	0.6498032	0.1105633	-145.7916	788.7098	1	3108.913	199.9852	1	0	0	0	False
5.6	0	-0.7519811	0.6498185	0.1107266	-145.7917	788.7098	1	3106.068	199.9966	1	0	0	0	False
5.61	0	-0.7519296	0.6498531	0.1108731	-145.7916	788.7098	1	3103.825	200.0963	1	0	0	0	False
5.62	0	-0.7519296	0.6498531	0.1108731	-145.7916	788.7098	1	3103.825	200.0963	1	0	0	0	False
5.63	0	-0.7519602	0.6497901	0.1110344	-145.7916	788.7098	1	3100.842	199.9264	1	0	0	0	False
5.64	0	-0.7520776	0.6496145	0.1112668	-145.7917	788.7098	1	3097.416	199.6502	1	0	0	0	False
5.65	0	-0.7522039	0.6494298	0.1114913	-145.7916	788.7098	1	3095.249	199.5327	1	0	0	0	False
5.66	0	-0.7522039	0.6494298	0.1114913	-145.7916	788.7098	1	3095.249	199.5327	1	0	0	0	False
5.67	0	-0.7523038	0.649269	0.1117529	-145.7916	788.7098	1	3093.794	199.6705	1	0	0	0	False
5.68	0	-0.7525164	0.6489758	0.1120245	-145.7916	788.7098	1	3093.468	199.7521	1	0	0	0	False
5.69	0	-0.7527562	0.6486698	0.1121859	-145.7916	788.7098	1	3093.187	199.5295	1	0	0	0	False
5.7	0	-0.7527562	0.6486698	0.1121859	-145.7916	788.7098	1	3093.187	199.5295	1	0	0	0	False
5.71	0	-0.7530091	0.6483023	0.1126121	-145.7917	788.7098	1	3091.299	199.6245	1	0	0	0	False
5.72	0	-0.7533239	0.6477969	0.1134124	-145.7916	788.7098	1	3085.886	199.8689	1	0	0	0	False
5.73	0	-0.7534829	0.6474911	0.1141	-145.7916	788.7098	1	3080.51	200.213	1	0	0	0	False
5.74	0	-0.7534829	0.6474911	0.1141	-145.7916	788.7098	1	3080.51	200.213	1	0	0	0	False
5.75	0	-0.7535831	0.6472558	0.1147712	-145.7916	788.7098	1	3072.972	200.3058	1	0	0	0	False
5.76	0	-0.7536914	0.6470588	0.11517	-145.7916	788.7099	1	3067.815	200.1395	1	0	0	0	False
5.77	0	-0.7538124	0.6469027	0.1152557	-145.7916	788.7098	1	3065.337	199.666	1	0	0	0	False
5.78	0	-0.7538124	0.6469027	0.1152557	-145.7916	788.7098	1	3065.337	199.666	1	0	0	0	False
5.79	0	-0.7540435	0.6466382	0.115228	-145.7917	788.7098	1	3063.538	198.7983	1	0	0	0	False
5.8	0	-0.7542626	0.6463807	0.1152389	-145.7917	788.7098	1	3061.976	198.0824	1	0	0	0	False
5.81	0	-0.7544341	0.6461713	0.1152901	-145.7916	788.7098	1	3059.893	197.4811	1	0	0	0	False
